compound,,standard,unit,water,toxicity,type,priority_pollutant,carcinogen,loel,human_health_1e_6,pH_dependent,hardness_dependent,temp_dependent
ACENAPTHENE,http://cactus.nci.nih.gov/chemical/structure/ACENAPTHENE/stdinchikey,1700,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ACROLEIN,http://cactus.nci.nih.gov/chemical/structure/ACROLEIN/stdinchikey,68,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ACRYLONITRILE,http://cactus.nci.nih.gov/chemical/structure/ACRYLONITRILE/stdinchikey,7550,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ALDRIN,http://cactus.nci.nih.gov/chemical/structure/ALDRIN/stdinchikey,3,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
AMMONIA,http://cactus.nci.nih.gov/chemical/structure/AMMONIA/stdinchikey,,ug / L,fresh,acute,aquatic life,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ANTIMONY,http://cactus.nci.nih.gov/chemical/structure/ANTIMONY/stdinchikey,9000,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ARSENIC (PENT),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (PENT)/stdinchikey,850,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARSENIC (TRI),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (TRI)/stdinchikey,360,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BENZENE,http://cactus.nci.nih.gov/chemical/structure/BENZENE/stdinchikey,5300,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BENZIDINE,http://cactus.nci.nih.gov/chemical/structure/BENZIDINE/stdinchikey,2500,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BERYLLIUM,http://cactus.nci.nih.gov/chemical/structure/BERYLLIUM/stdinchikey,130,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BHC,http://cactus.nci.nih.gov/chemical/structure/BHC/stdinchikey,100,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CADMIUM,http://cactus.nci.nih.gov/chemical/structure/CADMIUM/stdinchikey,3.9,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CARBON TETRACHLORIDE,http://cactus.nci.nih.gov/chemical/structure/CARBON TETRACHLORIDE/stdinchikey,35200,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORDANE,http://cactus.nci.nih.gov/chemical/structure/CHLORDANE/stdinchikey,2.4,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORIDE,http://cactus.nci.nih.gov/chemical/structure/CHLORIDE/stdinchikey,860,mg / L,fresh,acute,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORINATED BENZENES,http://cactus.nci.nih.gov/chemical/structure/CHLORINATED BENZENES/stdinchikey,250,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORINATED NAPHTHALENES,http://cactus.nci.nih.gov/chemical/structure/CHLORINATED NAPHTHALENES/stdinchikey,1600,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORINE,http://cactus.nci.nih.gov/chemical/structure/CHLORINE/stdinchikey,19,ug / L,fresh,acute,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLOROALKYL ETHERS,http://cactus.nci.nih.gov/chemical/structure/CHLOROALKYL ETHERS/stdinchikey,238000,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLOROFORM,http://cactus.nci.nih.gov/chemical/structure/CHLOROFORM/stdinchikey,28900,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLOROPHENOL 2,http://cactus.nci.nih.gov/chemical/structure/CHLOROPHENOL 2/stdinchikey,4380,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORPYRIFOS,http://cactus.nci.nih.gov/chemical/structure/CHLORPYRIFOS/stdinchikey,0.083,ug / L,fresh,acute,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORO-4 METHYL-3 PHENOL,http://cactus.nci.nih.gov/chemical/structure/CHLORO-4 METHYL-3 PHENOL/stdinchikey,30,ug / L,fresh,acute,aquatic life,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CHROMIUM (HEX),http://cactus.nci.nih.gov/chemical/structure/CHROMIUM (HEX)/stdinchikey,16,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHROMIUM (TRI),http://cactus.nci.nih.gov/chemical/structure/CHROMIUM (TRI)/stdinchikey,1700,ug / L,fresh,acute,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
COPPER,http://cactus.nci.nih.gov/chemical/structure/COPPER/stdinchikey,18,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CYANIDE,http://cactus.nci.nih.gov/chemical/structure/CYANIDE/stdinchikey,22,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDT,http://cactus.nci.nih.gov/chemical/structure/DDT/stdinchikey,1.1,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
(DDE) DDT METABOLITE,http://cactus.nci.nih.gov/chemical/structure/(DDE) DDT METABOLITE/stdinchikey,1050,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
(TDE) DDT METABOLITE,http://cactus.nci.nih.gov/chemical/structure/(TDE) DDT METABOLITE/stdinchikey,0.06,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
DICHLOROBENZENES,http://cactus.nci.nih.gov/chemical/structure/DICHLOROBENZENES/stdinchikey,1120,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
"DICHLOROETHANE 1,2","http://cactus.nci.nih.gov/chemical/structure/DICHLOROETHANE 1,2/stdinchikey",118000,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
DICHLOROETHYLENES,http://cactus.nci.nih.gov/chemical/structure/DICHLOROETHYLENES/stdinchikey,11600,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"DICHLOROPHENOL 2,4","http://cactus.nci.nih.gov/chemical/structure/DICHLOROPHENOL 2,4/stdinchikey",2020,ug / L,fresh,acute,aquatic life,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DICHLOROPROPANE,http://cactus.nci.nih.gov/chemical/structure/DICHLOROPROPANE/stdinchikey,23000,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DICHLOROPROPENE,http://cactus.nci.nih.gov/chemical/structure/DICHLOROPROPENE/stdinchikey,6060,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DIELDRIN,http://cactus.nci.nih.gov/chemical/structure/DIELDRIN/stdinchikey,2.5,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"DIMETHYL PHENOL 2,4","http://cactus.nci.nih.gov/chemical/structure/DIMETHYL PHENOL 2,4/stdinchikey",2120,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DINITROTOLUENE,http://cactus.nci.nih.gov/chemical/structure/DINITROTOLUENE/stdinchikey,330,ug / L,fresh,acute,aquatic life,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"DIOXIN (2,3,7,8-TCDD)","http://cactus.nci.nih.gov/chemical/structure/DIOXIN (2,3,7,8-TCDD)/stdinchikey",0.01,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"DIPHENYLHYDRAZINE 1,2","http://cactus.nci.nih.gov/chemical/structure/DIPHENYLHYDRAZINE 1,2/stdinchikey",270,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ENDOSULFAN,http://cactus.nci.nih.gov/chemical/structure/ENDOSULFAN/stdinchikey,0.22,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENDRIN,http://cactus.nci.nih.gov/chemical/structure/ENDRIN/stdinchikey,0.18,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ETHYLBENZENE,http://cactus.nci.nih.gov/chemical/structure/ETHYLBENZENE/stdinchikey,32000,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
FLUORANTHENE,http://cactus.nci.nih.gov/chemical/structure/FLUORANTHENE/stdinchikey,3980,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HALOETHERS,http://cactus.nci.nih.gov/chemical/structure/HALOETHERS/stdinchikey,360,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
HALOMETHANES,http://cactus.nci.nih.gov/chemical/structure/HALOMETHANES/stdinchikey,11000,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
HEPTACHLOR,http://cactus.nci.nih.gov/chemical/structure/HEPTACHLOR/stdinchikey,0.52,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HEXACHLOROETHANE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROETHANE/stdinchikey,980,ug / L,fresh,acute,aquatic life,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
HEXACHLOROBUTADIENE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROBUTADIENE/stdinchikey,90,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE (LINDANE),http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE (LINDANE)/stdinchikey,2,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOPENTADIENE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOPENTADIENE/stdinchikey,7,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ISOPHORONE,http://cactus.nci.nih.gov/chemical/structure/ISOPHORONE/stdinchikey,117000,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
LEAD,http://cactus.nci.nih.gov/chemical/structure/LEAD/stdinchikey,82,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
MERCURY,http://cactus.nci.nih.gov/chemical/structure/MERCURY/stdinchikey,2.4,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NAPHTHALENE,http://cactus.nci.nih.gov/chemical/structure/NAPHTHALENE/stdinchikey,2300,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NICKEL,http://cactus.nci.nih.gov/chemical/structure/NICKEL/stdinchikey,1400,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
NITROBENZENE,http://cactus.nci.nih.gov/chemical/structure/NITROBENZENE/stdinchikey,27000,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NITROPHENOLS,http://cactus.nci.nih.gov/chemical/structure/NITROPHENOLS/stdinchikey,230,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
NITROSAMINES,http://cactus.nci.nih.gov/chemical/structure/NITROSAMINES/stdinchikey,5850,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
PARATHION,http://cactus.nci.nih.gov/chemical/structure/PARATHION/stdinchikey,0.065,ug / L,fresh,acute,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCB's,http://cactus.nci.nih.gov/chemical/structure/PCB's/stdinchikey,2,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PENTACHLORINATED ETHANES,http://cactus.nci.nih.gov/chemical/structure/PENTACHLORINATED ETHANES/stdinchikey,7240,ug / L,fresh,acute,aquatic life,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PENTACHLOROPHENOL,http://cactus.nci.nih.gov/chemical/structure/PENTACHLOROPHENOL/stdinchikey,20,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
PHENOL,http://cactus.nci.nih.gov/chemical/structure/PHENOL/stdinchikey,10200,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PHTHALATE ESTERS,http://cactus.nci.nih.gov/chemical/structure/PHTHALATE ESTERS/stdinchikey,940,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SELENIUM,http://cactus.nci.nih.gov/chemical/structure/SELENIUM/stdinchikey,260,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SILVER,http://cactus.nci.nih.gov/chemical/structure/SILVER/stdinchikey,4.1,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
TETRACHLORINATED ETHANES,http://cactus.nci.nih.gov/chemical/structure/TETRACHLORINATED ETHANES/stdinchikey,9320,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TETRACHLOROETHANES,http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROETHANES/stdinchikey,9320,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TETRACHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROETHYLENE/stdinchikey,5280,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
THALLIUM,http://cactus.nci.nih.gov/chemical/structure/THALLIUM/stdinchikey,1400,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TOLUENE,http://cactus.nci.nih.gov/chemical/structure/TOLUENE/stdinchikey,17500,ug / L,fresh,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TOXAPHENE,http://cactus.nci.nih.gov/chemical/structure/TOXAPHENE/stdinchikey,0.73,ug / L,fresh,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
TRICHLORINATED ETHANES,http://cactus.nci.nih.gov/chemical/structure/TRICHLORINATED ETHANES/stdinchikey,18000,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
TRICHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TRICHLOROETHYLENE/stdinchikey,45000,ug / L,fresh,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ZINC,http://cactus.nci.nih.gov/chemical/structure/ZINC/stdinchikey,120,ug / L,fresh,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
ACENAPTHENE,http://cactus.nci.nih.gov/chemical/structure/ACENAPTHENE/stdinchikey,520,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ACROLEIN,http://cactus.nci.nih.gov/chemical/structure/ACROLEIN/stdinchikey,21,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ACRYLONITRILE,http://cactus.nci.nih.gov/chemical/structure/ACRYLONITRILE/stdinchikey,2600,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ALKALINITY,http://cactus.nci.nih.gov/chemical/structure/ALKALINITY/stdinchikey,20000,ug / L,fresh,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
AMMONIA,http://cactus.nci.nih.gov/chemical/structure/AMMONIA/stdinchikey,,ug / L,fresh,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ANTIMONY,http://cactus.nci.nih.gov/chemical/structure/ANTIMONY/stdinchikey,1600,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
ARSENIC (PENT),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (PENT)/stdinchikey,48,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARSENIC (TRI),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (TRI)/stdinchikey,190,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BERYLLIUM,http://cactus.nci.nih.gov/chemical/structure/BERYLLIUM/stdinchikey,5.3,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CADMIUM,http://cactus.nci.nih.gov/chemical/structure/CADMIUM/stdinchikey,1.1,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CARBON TETRACHLORIDE,http://cactus.nci.nih.gov/chemical/structure/CARBON TETRACHLORIDE/stdinchikey,50000,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORDANE,http://cactus.nci.nih.gov/chemical/structure/CHLORDANE/stdinchikey,0.0043,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORIDE,http://cactus.nci.nih.gov/chemical/structure/CHLORIDE/stdinchikey,230,mg / L,fresh,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORINATED BENZENES,http://cactus.nci.nih.gov/chemical/structure/CHLORINATED BENZENES/stdinchikey,50,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORINE,http://cactus.nci.nih.gov/chemical/structure/CHLORINE/stdinchikey,11,ug / L,fresh,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLOROFORM,http://cactus.nci.nih.gov/chemical/structure/CHLOROFORM/stdinchikey,1240,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLOROPHENOL 2,http://cactus.nci.nih.gov/chemical/structure/CHLOROPHENOL 2/stdinchikey,2000,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORPYRIFOS,http://cactus.nci.nih.gov/chemical/structure/CHLORPYRIFOS/stdinchikey,0.041,ug / L,fresh,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHROMIUM (HEX),http://cactus.nci.nih.gov/chemical/structure/CHROMIUM (HEX)/stdinchikey,11,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHROMIUM (TRI),http://cactus.nci.nih.gov/chemical/structure/CHROMIUM (TRI)/stdinchikey,210,ug / L,fresh,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
COPPER,http://cactus.nci.nih.gov/chemical/structure/COPPER/stdinchikey,12,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
CYANIDE,http://cactus.nci.nih.gov/chemical/structure/CYANIDE/stdinchikey,5.2,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDT,http://cactus.nci.nih.gov/chemical/structure/DDT/stdinchikey,0.001,ug / L,fresh,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DEMETON,http://cactus.nci.nih.gov/chemical/structure/DEMETON/stdinchikey,0.1,ug / L,fresh,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
