compound,,standard,unit,water,toxicity,type,priority_pollutant,carcinogen,loel,human_health_1e_6,pH_dependent,hardness_dependent,temp_dependent
THALLIUM,http://cactus.nci.nih.gov/chemical/structure/THALLIUM/stdinchikey,2130,ug / L,marine,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TOLUENE,http://cactus.nci.nih.gov/chemical/structure/TOLUENE/stdinchikey,6300,ug / L,marine,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TOXAPHENE,http://cactus.nci.nih.gov/chemical/structure/TOXAPHENE/stdinchikey,0.21,ug / L,marine,acute,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
"TRICHLOROETHANE 1,1,1","http://cactus.nci.nih.gov/chemical/structure/TRICHLOROETHANE 1,1,1/stdinchikey",312000,ug / L,marine,acute,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TRICHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TRICHLOROETHYLENE/stdinchikey,2000,ug / L,marine,acute,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ZINC,http://cactus.nci.nih.gov/chemical/structure/ZINC/stdinchikey,95,ug / L,marine,acute,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACENAPTHENE,http://cactus.nci.nih.gov/chemical/structure/ACENAPTHENE/stdinchikey,710,ug / L,marine,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
AMMONIA,http://cactus.nci.nih.gov/chemical/structure/AMMONIA/stdinchikey,,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ARSENIC (PENT),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (PENT)/stdinchikey,13,ug / L,marine,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ARSENIC (TRI),http://cactus.nci.nih.gov/chemical/structure/ARSENIC (TRI)/stdinchikey,36,ug / L,marine,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BENZENE,http://cactus.nci.nih.gov/chemical/structure/BENZENE/stdinchikey,700,ug / L,marine,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CADMIUM,http://cactus.nci.nih.gov/chemical/structure/CADMIUM/stdinchikey,9.3,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CARBON TETRACHLORIDE,http://cactus.nci.nih.gov/chemical/structure/CARBON TETRACHLORIDE/stdinchikey,6.94,ug,marine,chronic,aquatic life,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CHLORDANE,http://cactus.nci.nih.gov/chemical/structure/CHLORDANE/stdinchikey,0.004,ug / L,marine,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORINATED BENZENES,http://cactus.nci.nih.gov/chemical/structure/CHLORINATED BENZENES/stdinchikey,129,ug / L,marine,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
CHLORINE,http://cactus.nci.nih.gov/chemical/structure/CHLORINE/stdinchikey,7.5,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORPYRIFOS,http://cactus.nci.nih.gov/chemical/structure/CHLORPYRIFOS/stdinchikey,0.0056,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHROMIUM (HEX),http://cactus.nci.nih.gov/chemical/structure/CHROMIUM (HEX)/stdinchikey,50,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPPER,http://cactus.nci.nih.gov/chemical/structure/COPPER/stdinchikey,2.9,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CYANIDE,http://cactus.nci.nih.gov/chemical/structure/CYANIDE/stdinchikey,1,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDT,http://cactus.nci.nih.gov/chemical/structure/DDT/stdinchikey,0.001,ug / L,marine,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DEMETON,http://cactus.nci.nih.gov/chemical/structure/DEMETON/stdinchikey,0.1,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DICHLOROPROPANE,http://cactus.nci.nih.gov/chemical/structure/DICHLOROPROPANE/stdinchikey,3040,ug / L,marine,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
DIELDRIN,http://cactus.nci.nih.gov/chemical/structure/DIELDRIN/stdinchikey,0.0019,ug / L,marine,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
DINITROTOLUENE,http://cactus.nci.nih.gov/chemical/structure/DINITROTOLUENE/stdinchikey,370,ug / L,marine,chronic,aquatic life,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
ENDOSULFAN,http://cactus.nci.nih.gov/chemical/structure/ENDOSULFAN/stdinchikey,0.0087,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENDRIN,http://cactus.nci.nih.gov/chemical/structure/ENDRIN/stdinchikey,0.0023,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FLUORANTHENE,http://cactus.nci.nih.gov/chemical/structure/FLUORANTHENE/stdinchikey,16,ug / L,marine,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
GUTHION,http://cactus.nci.nih.gov/chemical/structure/GUTHION/stdinchikey,0.01,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HALOMETHANES,http://cactus.nci.nih.gov/chemical/structure/HALOMETHANES/stdinchikey,6400,ug / L,marine,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
HEPTACHLOR,http://cactus.nci.nih.gov/chemical/structure/HEPTACHLOR/stdinchikey,0.0036,ug / L,marine,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LEAD,http://cactus.nci.nih.gov/chemical/structure/LEAD/stdinchikey,5.6,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MALATHION,http://cactus.nci.nih.gov/chemical/structure/MALATHION/stdinchikey,0.1,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MERCURY,http://cactus.nci.nih.gov/chemical/structure/MERCURY/stdinchikey,0.025,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
METHOXYCHLOR,http://cactus.nci.nih.gov/chemical/structure/METHOXYCHLOR/stdinchikey,0.03,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MIREX,http://cactus.nci.nih.gov/chemical/structure/MIREX/stdinchikey,0.001,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NICKEL,http://cactus.nci.nih.gov/chemical/structure/NICKEL/stdinchikey,8.3,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PCB's,http://cactus.nci.nih.gov/chemical/structure/PCB's/stdinchikey,0.03,ug / L,marine,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
PENTACHLORINATED ETHANES,http://cactus.nci.nih.gov/chemical/structure/PENTACHLORINATED ETHANES/stdinchikey,281,ug / L,marine,chronic,aquatic life,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PENTACHLOROPHENOL,http://cactus.nci.nih.gov/chemical/structure/PENTACHLOROPHENOL/stdinchikey,7.9,ug / L,marine,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
PHOSPHORUS ELEMENTAL,http://cactus.nci.nih.gov/chemical/structure/PHOSPHORUS ELEMENTAL/stdinchikey,0.1,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PHTHALATE ESTERS,http://cactus.nci.nih.gov/chemical/structure/PHTHALATE ESTERS/stdinchikey,3.4,ug / L,marine,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
SELENIUM,http://cactus.nci.nih.gov/chemical/structure/SELENIUM/stdinchikey,54,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SULFIDE HYDROGEN SULFIDE,http://cactus.nci.nih.gov/chemical/structure/SULFIDE HYDROGEN SULFIDE/stdinchikey,2,ug / L,marine,chronic,aquatic life,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TETRACHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROETHYLENE/stdinchikey,450,ug / L,marine,chronic,aquatic life,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
"TETRACHLOROPHENOL 2,3,5,6","http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROPHENOL 2,3,5,6/stdinchikey",440,ug / L,marine,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TOLUENE,http://cactus.nci.nih.gov/chemical/structure/TOLUENE/stdinchikey,5000,ug / L,marine,chronic,aquatic life,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
TOXAPHENE,http://cactus.nci.nih.gov/chemical/structure/TOXAPHENE/stdinchikey,0.0002,ug / L,marine,chronic,aquatic life,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
ZINC,http://cactus.nci.nih.gov/chemical/structure/ZINC/stdinchikey,86,ug / L,marine,chronic,aquatic life,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACROLEIN,http://cactus.nci.nih.gov/chemical/structure/ACROLEIN/stdinchikey,320,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACRYLONITRILE,http://cactus.nci.nih.gov/chemical/structure/ACRYLONITRILE/stdinchikey,0.058,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ALDRIN,http://cactus.nci.nih.gov/chemical/structure/ALDRIN/stdinchikey,0.074,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
AMMONIA,http://cactus.nci.nih.gov/chemical/structure/AMMONIA/stdinchikey,,,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ANTIMONY,http://cactus.nci.nih.gov/chemical/structure/ANTIMONY/stdinchikey,146,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ASBESTOS,http://cactus.nci.nih.gov/chemical/structure/ASBESTOS/stdinchikey,7.006,fibers / L,NA,water and fish,human health,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BARIUM,http://cactus.nci.nih.gov/chemical/structure/BARIUM/stdinchikey,1,mg,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BENZENE,http://cactus.nci.nih.gov/chemical/structure/BENZENE/stdinchikey,0.66,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
BENZIDINE,http://cactus.nci.nih.gov/chemical/structure/BENZIDINE/stdinchikey,0.12,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLORDANE,http://cactus.nci.nih.gov/chemical/structure/CHLORDANE/stdinchikey,0.46,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CHLORINATED BENZENES,http://cactus.nci.nih.gov/chemical/structure/CHLORINATED BENZENES/stdinchikey,488,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLOROETHYL ETHER (BIS-2),http://cactus.nci.nih.gov/chemical/structure/CHLOROETHYL ETHER (BIS-2)/stdinchikey,0.03,ub,NA,water and fish,human health,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLOROFORM,http://cactus.nci.nih.gov/chemical/structure/CHLOROFORM/stdinchikey,0.19,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CHLOROISOPROPYL ETHER (BIS-2),http://cactus.nci.nih.gov/chemical/structure/CHLOROISOPROPYL ETHER (BIS-2)/stdinchikey,34.7,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLOROMETHYL ETHER (BIS),http://cactus.nci.nih.gov/chemical/structure/CHLOROMETHYL ETHER (BIS)/stdinchikey,0.00000376,ng,NA,water and fish,human health,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"CHLOROPHENOXY HERBICIDES (2,4,5,-TP)","http://cactus.nci.nih.gov/chemical/structure/CHLOROPHENOXY HERBICIDES (2,4,5,-TP)/stdinchikey",10,ug,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"CHLOROPHENOXY HERBICIDES (2,4-D)","http://cactus.nci.nih.gov/chemical/structure/CHLOROPHENOXY HERBICIDES (2,4-D)/stdinchikey",100,ug,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
COPPER,http://cactus.nci.nih.gov/chemical/structure/COPPER/stdinchikey,1300,,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CYANIDE,http://cactus.nci.nih.gov/chemical/structure/CYANIDE/stdinchikey,200,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DDT,http://cactus.nci.nih.gov/chemical/structure/DDT/stdinchikey,0.024,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DIBUTYLPHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DIBUTYLPHTHALATE/stdinchikey,35,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DICHLOROBENZENES,http://cactus.nci.nih.gov/chemical/structure/DICHLOROBENZENES/stdinchikey,400,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DICHLOROBENZIDINE,http://cactus.nci.nih.gov/chemical/structure/DICHLOROBENZIDINE/stdinchikey,0.01,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"DICHLOROETHANE 1,2","http://cactus.nci.nih.gov/chemical/structure/DICHLOROETHANE 1,2/stdinchikey",0.94,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DICHLOROETHYLENES,http://cactus.nci.nih.gov/chemical/structure/DICHLOROETHYLENES/stdinchikey,0.033,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"DICHLOROPHENOL 2,4","http://cactus.nci.nih.gov/chemical/structure/DICHLOROPHENOL 2,4/stdinchikey",3.09,mg,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DICHLOROPROPENE,http://cactus.nci.nih.gov/chemical/structure/DICHLOROPROPENE/stdinchikey,87,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIELDRIN,http://cactus.nci.nih.gov/chemical/structure/DIELDRIN/stdinchikey,0.071,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DIETHYLPHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DIETHYLPHTHALATE/stdinchikey,350,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIMETHYL PHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DIMETHYL PHTHALATE/stdinchikey,313,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DINITROTOLUENE 2,4","http://cactus.nci.nih.gov/chemical/structure/DINITROTOLUENE 2,4/stdinchikey",0.11,ug,NA,water and fish,human health,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DINITROTOLUENE,http://cactus.nci.nih.gov/chemical/structure/DINITROTOLUENE/stdinchikey,70,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DINITRO-O-CRESOL 2,4","http://cactus.nci.nih.gov/chemical/structure/DINITRO-O-CRESOL 2,4/stdinchikey",13.4,g,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DIOXIN (2,3,7,8-TCDD)","http://cactus.nci.nih.gov/chemical/structure/DIOXIN (2,3,7,8-TCDD)/stdinchikey",0.000013,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DIPHENYLHYDRAZINE,http://cactus.nci.nih.gov/chemical/structure/DIPHENYLHYDRAZINE/stdinchikey,42,ng,NA,water and fish,human health,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DI-2-ETHYLHEXYL PHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DI-2-ETHYLHEXYL PHTHALATE/stdinchikey,15,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENDOSULFAN,http://cactus.nci.nih.gov/chemical/structure/ENDOSULFAN/stdinchikey,74,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENDRIN,http://cactus.nci.nih.gov/chemical/structure/ENDRIN/stdinchikey,1,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ETHYLBENZENE,http://cactus.nci.nih.gov/chemical/structure/ETHYLBENZENE/stdinchikey,1.4,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FLUORANTHENE,http://cactus.nci.nih.gov/chemical/structure/FLUORANTHENE/stdinchikey,42,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HALOMETHANES,http://cactus.nci.nih.gov/chemical/structure/HALOMETHANES/stdinchikey,0.19,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEPTACHLOR,http://cactus.nci.nih.gov/chemical/structure/HEPTACHLOR/stdinchikey,0.28,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROETHANE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROETHANE/stdinchikey,1.9,ug,NA,water and fish,human health,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HEXACHLOROBENZENE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROBENZENE/stdinchikey,0.72,ng,NA,water and fish,human health,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROBUTADIENE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROBUTADIENE/stdinchikey,0.45,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-ALPHA,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-ALPHA/stdinchikey,9.2,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-BETA,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-BETA/stdinchikey,16.3,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-GAMA,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-GAMA/stdinchikey,18.6,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-TECHNICAL,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-TECHNICAL/stdinchikey,12.3,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOPENTADIENE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOPENTADIENE/stdinchikey,206,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
IRON,http://cactus.nci.nih.gov/chemical/structure/IRON/stdinchikey,0.3,mg,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
