compound,,standard,unit,water,toxicity,type,priority_pollutant,carcinogen,loel,human_health_1e_6,pH_dependent,hardness_dependent,temp_dependent
ISOPHORONE,http://cactus.nci.nih.gov/chemical/structure/ISOPHORONE/stdinchikey,5.2,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MANGANESE,http://cactus.nci.nih.gov/chemical/structure/MANGANESE/stdinchikey,50,ug,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
METHOXYCHLOR,http://cactus.nci.nih.gov/chemical/structure/METHOXYCHLOR/stdinchikey,100,ug,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MONOCHLOROBENZENE,http://cactus.nci.nih.gov/chemical/structure/MONOCHLOROBENZENE/stdinchikey,488,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NICKEL,http://cactus.nci.nih.gov/chemical/structure/NICKEL/stdinchikey,13.4,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NITRATES,http://cactus.nci.nih.gov/chemical/structure/NITRATES/stdinchikey,10,mg,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NITROBENZENE,http://cactus.nci.nih.gov/chemical/structure/NITROBENZENE/stdinchikey,19.8,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NITROSAMINES,http://cactus.nci.nih.gov/chemical/structure/NITROSAMINES/stdinchikey,0.8,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIBUTYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIBUTYLAMINE N/stdinchikey,6.4,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIETHYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIETHYLAMINE N/stdinchikey,0.8,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIMETHYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIMETHYLAMINE N/stdinchikey,1.4,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIPHENYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIPHENYLAMINE N/stdinchikey,4900,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSOPYRROLIDINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSOPYRROLIDINE N/stdinchikey,16,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
PCB's,http://cactus.nci.nih.gov/chemical/structure/PCB's/stdinchikey,0.079,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
PENTACHLOROBENZENE,http://cactus.nci.nih.gov/chemical/structure/PENTACHLOROBENZENE/stdinchikey,74,ug,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PENTACHLOROPHENOL,http://cactus.nci.nih.gov/chemical/structure/PENTACHLOROPHENOL/stdinchikey,1.01,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
PHENOL,http://cactus.nci.nih.gov/chemical/structure/PHENOL/stdinchikey,3.5,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLYNUCLEAR AROMATIC HYDROCARBONS,http://cactus.nci.nih.gov/chemical/structure/POLYNUCLEAR AROMATIC HYDROCARBONS/stdinchikey,2.8,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
SELENIUM,http://cactus.nci.nih.gov/chemical/structure/SELENIUM/stdinchikey,10,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TETRACHLOROBENZENE 1,2,4,5","http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROBENZENE 1,2,4,5/stdinchikey",38,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TETRACHLOROETHANE 1,1,2,2","http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROETHANE 1,1,2,2/stdinchikey",0.17,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TETRACHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROETHYLENE/stdinchikey,0.8,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
THALLIUM,http://cactus.nci.nih.gov/chemical/structure/THALLIUM/stdinchikey,13,ug,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TOLUENE,http://cactus.nci.nih.gov/chemical/structure/TOLUENE/stdinchikey,14.3,mg,NA,water and fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TOXAPHENE,http://cactus.nci.nih.gov/chemical/structure/TOXAPHENE/stdinchikey,0.71,ng,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"TRICHLOROETHANE 1,1,2","http://cactus.nci.nih.gov/chemical/structure/TRICHLOROETHANE 1,1,2/stdinchikey",0.6,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRICHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TRICHLOROETHYLENE/stdinchikey,2.7,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"TRICHLOROPHENOL 2,4,5","http://cactus.nci.nih.gov/chemical/structure/TRICHLOROPHENOL 2,4,5/stdinchikey",2600,ug,NA,water and fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TRICHLOROPHENOL 2,4,6","http://cactus.nci.nih.gov/chemical/structure/TRICHLOROPHENOL 2,4,6/stdinchikey",1.2,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
VINYL CHLORIDE,http://cactus.nci.nih.gov/chemical/structure/VINYL CHLORIDE/stdinchikey,2,ug,NA,water and fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ACROLEIN,http://cactus.nci.nih.gov/chemical/structure/ACROLEIN/stdinchikey,780,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ACRYLONITRILE,http://cactus.nci.nih.gov/chemical/structure/ACRYLONITRILE/stdinchikey,0.65,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ALDRIN,http://cactus.nci.nih.gov/chemical/structure/ALDRIN/stdinchikey,0.079,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
AMMONIA,http://cactus.nci.nih.gov/chemical/structure/AMMONIA/stdinchikey,,,NA,fish,human health,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
ANTIMONY,http://cactus.nci.nih.gov/chemical/structure/ANTIMONY/stdinchikey,45000,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
BENZENE,http://cactus.nci.nih.gov/chemical/structure/BENZENE/stdinchikey,40,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
BENZIDINE,http://cactus.nci.nih.gov/chemical/structure/BENZIDINE/stdinchikey,0.53,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CHLORDANE,http://cactus.nci.nih.gov/chemical/structure/CHLORDANE/stdinchikey,0.48,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CHLOROETHYL ETHER (BIS-2),http://cactus.nci.nih.gov/chemical/structure/CHLOROETHYL ETHER (BIS-2)/stdinchikey,1.36,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CHLOROFORM,http://cactus.nci.nih.gov/chemical/structure/CHLOROFORM/stdinchikey,15.7,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
CHLOROISOPROPYL ETHER (BIS-2),http://cactus.nci.nih.gov/chemical/structure/CHLOROISOPROPYL ETHER (BIS-2)/stdinchikey,4.36,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHLOROMETHYL ETHER (BIS),http://cactus.nci.nih.gov/chemical/structure/CHLOROMETHYL ETHER (BIS)/stdinchikey,0.00184,ug,NA,fish,human health,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DDT,http://cactus.nci.nih.gov/chemical/structure/DDT/stdinchikey,0.024,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DIBUTYLPHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DIBUTYLPHTHALATE/stdinchikey,154,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DICHLOROBENZENES,http://cactus.nci.nih.gov/chemical/structure/DICHLOROBENZENES/stdinchikey,2.6,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DICHLOROBENZIDINE,http://cactus.nci.nih.gov/chemical/structure/DICHLOROBENZIDINE/stdinchikey,0.02,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"DICHLOROETHANE 1,2","http://cactus.nci.nih.gov/chemical/structure/DICHLOROETHANE 1,2/stdinchikey",243,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DICHLOROETHYLENES,http://cactus.nci.nih.gov/chemical/structure/DICHLOROETHYLENES/stdinchikey,1.85,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DICHLOROPROPENE,http://cactus.nci.nih.gov/chemical/structure/DICHLOROPROPENE/stdinchikey,14.1,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIELDRIN,http://cactus.nci.nih.gov/chemical/structure/DIELDRIN/stdinchikey,0.076,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DIETHYLPHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DIETHYLPHTHALATE/stdinchikey,1.8,g,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
DIMETHYL PHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DIMETHYL PHTHALATE/stdinchikey,2.9,g,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DINITROTOLUENE 2,4","http://cactus.nci.nih.gov/chemical/structure/DINITROTOLUENE 2,4/stdinchikey",9.1,ug,NA,fish,human health,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DINITROTOLUENE,http://cactus.nci.nih.gov/chemical/structure/DINITROTOLUENE/stdinchikey,14.3,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DINITRO-O-CRESOL 2,4","http://cactus.nci.nih.gov/chemical/structure/DINITRO-O-CRESOL 2,4/stdinchikey",765,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"DIOXIN (2,3,7,8-TCDD)","http://cactus.nci.nih.gov/chemical/structure/DIOXIN (2,3,7,8-TCDD)/stdinchikey",0.000014,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
DIPHENYLHYDRAZINE,http://cactus.nci.nih.gov/chemical/structure/DIPHENYLHYDRAZINE/stdinchikey,0.56,ug,NA,fish,human health,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
DI-2-ETHYLHEXYL PHTHALATE,http://cactus.nci.nih.gov/chemical/structure/DI-2-ETHYLHEXYL PHTHALATE/stdinchikey,50,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENDOSULFAN,http://cactus.nci.nih.gov/chemical/structure/ENDOSULFAN/stdinchikey,159,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ETHYLBENZENE,http://cactus.nci.nih.gov/chemical/structure/ETHYLBENZENE/stdinchikey,3.28,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
FLUORANTHENE,http://cactus.nci.nih.gov/chemical/structure/FLUORANTHENE/stdinchikey,54,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HALOMETHANES,http://cactus.nci.nih.gov/chemical/structure/HALOMETHANES/stdinchikey,15.7,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEPTACHLOR,http://cactus.nci.nih.gov/chemical/structure/HEPTACHLOR/stdinchikey,0.29,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROETHANE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROETHANE/stdinchikey,8.74,ug,NA,fish,human health,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
HEXACHLOROBENZENE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROBENZENE/stdinchikey,0.74,ng,NA,fish,human health,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROBUTADIENE,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROBUTADIENE/stdinchikey,50,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-ALPHA,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-ALPHA/stdinchikey,31,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-BETA,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-BETA/stdinchikey,54.7,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-GAMA,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-GAMA/stdinchikey,62.5,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE-TECHNICAL,http://cactus.nci.nih.gov/chemical/structure/HEXACHLOROCYCLOHEXANE-TECHNICAL/stdinchikey,41.4,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
ISOPHORONE,http://cactus.nci.nih.gov/chemical/structure/ISOPHORONE/stdinchikey,520,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MANGANESE,http://cactus.nci.nih.gov/chemical/structure/MANGANESE/stdinchikey,100,ug,NA,fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NICKEL,http://cactus.nci.nih.gov/chemical/structure/NICKEL/stdinchikey,100,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NITROSAMINES,http://cactus.nci.nih.gov/chemical/structure/NITROSAMINES/stdinchikey,1240,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIBUTYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIBUTYLAMINE N/stdinchikey,587,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIETHYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIETHYLAMINE N/stdinchikey,1240,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIMETHYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIMETHYLAMINE N/stdinchikey,16000,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSODIPHENYLAMINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSODIPHENYLAMINE N/stdinchikey,16100,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
NITROSOPYRROLIDINE N,http://cactus.nci.nih.gov/chemical/structure/NITROSOPYRROLIDINE N/stdinchikey,91900,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
PCB's,http://cactus.nci.nih.gov/chemical/structure/PCB's/stdinchikey,0.079,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
PENTACHLOROBENZENE,http://cactus.nci.nih.gov/chemical/structure/PENTACHLOROBENZENE/stdinchikey,85,ug,NA,fish,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
POLYNUCLEAR AROMATIC HYDROCARBONS,http://cactus.nci.nih.gov/chemical/structure/POLYNUCLEAR AROMATIC HYDROCARBONS/stdinchikey,31.1,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"TETRACHLOROBENZENE 1,2,4,5","http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROBENZENE 1,2,4,5/stdinchikey",48,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
"TETRACHLOROETHANE 1,1,2,2","http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROETHANE 1,1,2,2/stdinchikey",10.7,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TETRACHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TETRACHLOROETHYLENE/stdinchikey,8.85,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
THALLIUM,http://cactus.nci.nih.gov/chemical/structure/THALLIUM/stdinchikey,48,ug,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TOLUENE,http://cactus.nci.nih.gov/chemical/structure/TOLUENE/stdinchikey,424,mg,NA,fish,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TOXAPHENE,http://cactus.nci.nih.gov/chemical/structure/TOXAPHENE/stdinchikey,0.73,ng,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"TRICHLOROETHANE 1,1,2","http://cactus.nci.nih.gov/chemical/structure/TRICHLOROETHANE 1,1,2/stdinchikey",41.8,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
TRICHLOROETHYLENE,http://cactus.nci.nih.gov/chemical/structure/TRICHLOROETHYLENE/stdinchikey,80.7,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
"TRICHLOROPHENOL 2,4,6","http://cactus.nci.nih.gov/chemical/structure/TRICHLOROPHENOL 2,4,6/stdinchikey",3.6,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
VINYL CHLORIDE,InChIKey=BZHJMEDXRYGGRV-UHFFFAOYSA-N,525,ug,NA,fish,human health,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE
AMMONIA,InChIKey=QGZKDVFQNNGYKY-UHFFFAOYSA-N,,,drinking,water,human health,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
BARIUM,InChIKey=MUBOSUMMMUSVEO-UHFFFAOYSA-N,1,mg,drinking,water,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CADMIUM,InChIKey=BDOSMKKIYDKNTQ-UHFFFAOYSA-N,0.01,mg,drinking,water,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHROMIUM (HEX),http://cactus.nci.nih.gov/chemical/structure/CHROMIUM (HEX)/stdinchikey,0.05,mg,drinking,water,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
CHROMIUM (TRI),http://cactus.nci.nih.gov/chemical/structure/CHROMIUM (TRI)/stdinchikey,0.05,mg,drinking,water,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
ENDRIN,InChIKey=DFBKLUNHFCTMDC-UHFFFAOYSA-N,0.0002,mg,drinking,water,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
HEXACHLOROCYCLOHEXANE (LINDANE),InChIKey=JCMKNCBLXDQLEA-UHFFFAOYSA-N,0.004,mg,drinking,water,human health,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
LEAD,InChIKey=XRCKXJLUPOKIPF-UHFFFAOYSA-N,0.05,mg,drinking,water,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
MERCURY,InChIKey=QSHDDOUJBYECFT-UHFFFAOYSA-N,0.002,mg,drinking,water,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
METHOXYCHLOR,InChIKey=IAKOZHOLGAGEJT-UHFFFAOYSA-N,0.1,mg,drinking,water,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
NITRATES,http://cactus.nci.nih.gov/chemical/structure/NITRATES/stdinchikey,10,mg,drinking,water,human health,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SELENIUM,InChIKey=SPVXKVOXSXTJOY-UHFFFAOYSA-N,0.01,mg,drinking,water,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
SILVER,InChIKey=BQCADISMDOOEFD-UHFFFAOYSA-N,0.05,mg,drinking,water,human health,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
TOXAPHENE,InChIKey=OEJNXTAZZBRGDN-UHFFFAOYSA-N,0.005,mg,drinking,water,human health,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
